,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Weligama,LK,5.9667,80.4167,78.75,86,100,6.59,overcast clouds
277,Palmerston,AU,-12.486,130.9833,75.18,85,87,3.09,overcast clouds
278,Kalia,BD,23.0396,89.6328,81.79,84,100,2.93,overcast clouds
279,Iskateley,RU,67.6803,53.1512,36.45,97,100,5.71,overcast clouds
280,Namie,JP,37.4833,141.0,60.71,94,0,2.26,clear sky
281,Harper,LR,4.375,-7.7169,78.39,84,68,5.69,moderate rain
282,Honningsvag,NO,70.9821,25.9704,42.55,75,100,2.57,overcast clouds
283,Fereydun Kenar,IR,36.6864,52.5225,74.97,68,15,4.57,few clouds
284,Tiznit,MA,29.5833,-9.5,79.25,32,23,5.1,few clouds
285,Boyany,UA,48.2708,26.1262,76.33,48,100,1.93,overcast clouds
286,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,90.73,41,14,3.04,few clouds
287,Chegdomyn,RU,51.1167,133.0167,32.36,70,3,1.45,clear sky
288,Egvekinot,RU,66.3167,-179.1667,23.13,76,100,3.9,overcast clouds
289,Goderich,CA,43.7501,-81.7165,59.32,67,100,4.63,overcast clouds
290,Southbridge,US,42.0751,-72.0334,52.84,95,100,2.68,overcast clouds
291,Asau,RO,46.4333,26.4,74.32,52,100,2.24,overcast clouds
292,Ugoofaaru,MV,5.6667,73.0,81.77,77,100,7.46,light rain
293,Pacific Grove,US,36.6177,-121.9166,57.31,95,100,1.34,mist
294,Poum,NC,-20.2333,164.0167,72.61,66,0,5.21,clear sky
295,Batagay-Alyta,RU,67.8006,130.4114,11.97,90,98,2.08,overcast clouds
296,Klaksvik,FO,62.2266,-6.589,50.92,87,63,8.44,broken clouds
297,Lorengau,PG,-2.0226,147.2712,81.7,78,40,3.98,scattered clouds
298,Nizwa,OM,22.9333,57.5333,90.39,26,17,1.8,few clouds
299,Aksu,CN,41.1231,80.2644,65.62,34,91,8.88,overcast clouds
300,Maldonado,UY,-34.6667,-54.9167,65.59,54,12,2.47,few clouds
301,Ust-Koksa,RU,50.2696,85.6108,22.5,59,9,0.77,clear sky
302,Haines Junction,CA,60.7522,-137.5108,35.55,100,100,1.54,overcast clouds
303,Kabelvag,NO,68.2114,14.4817,48.22,62,2,3.92,clear sky
304,Ostrovnoy,RU,68.0531,39.5131,37.6,92,100,6.62,overcast clouds
305,Kangaatsiaq,GL,68.3065,-53.4641,33.3,61,99,4.25,overcast clouds
306,Kerman,IR,30.2832,57.0788,78.66,12,0,4.12,clear sky
307,Tingo Maria,PE,-9.2895,-76.0088,71.91,88,100,2.06,overcast clouds
308,Trelew,AR,-43.249,-65.3051,65.3,22,8,5.31,clear sky
309,Payo,ID,-3.7508,103.6372,73.81,99,99,1.58,light rain
310,Yulara,AU,-25.2406,130.9889,66.18,36,81,4.09,broken clouds
311,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,68,75,12.35,broken clouds
312,Markova,UA,48.6758,24.4138,64.36,65,100,2.18,overcast clouds
313,Zhuhai,CN,22.2769,113.5678,82.85,89,40,6.17,light intensity shower rain
314,Aviles,ES,43.5547,-5.9248,71.92,64,0,4.02,clear sky
315,Chamrajnagar,IN,11.9167,76.95,71.42,79,100,2.62,overcast clouds
316,Takahata,JP,38.0025,140.1911,60.37,88,0,0.67,clear sky
317,Biltine,TD,14.5333,20.9167,101.91,9,2,3.53,clear sky
318,Tual,ID,-5.6667,132.75,82.47,76,49,2.4,scattered clouds
319,Bethel,US,41.3712,-73.414,55.89,78,100,1.34,overcast clouds
320,Moroni,KM,-11.7022,43.2551,77.0,78,20,3.09,few clouds
321,Kalakamati,BW,-20.5929,27.3121,90.18,8,0,6.54,clear sky
322,Tocopilla,CL,-22.092,-70.1979,65.93,60,8,3.64,clear sky
323,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,33,0,4.63,clear sky
324,Quatre Cocos,MU,-20.2078,57.7625,70.09,71,37,6.26,scattered clouds
325,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,65.1,61,20,4.19,few clouds
326,Suntar,RU,62.1444,117.6319,25.21,82,73,1.88,broken clouds
327,Ponta Delgada,PT,37.7333,-25.6667,74.12,73,20,6.17,few clouds
328,Davila,PH,18.4726,120.5763,80.58,75,4,1.04,clear sky
329,Sisimiut,GL,66.9395,-53.6735,35.15,87,99,3.43,overcast clouds
330,Shimoda,JP,34.6667,138.95,71.62,75,2,2.59,clear sky
331,Samarai,PG,-10.6167,150.6667,81.36,74,6,4.7,clear sky
332,Yarada,IN,17.65,83.2667,79.12,89,75,1.54,thunderstorm
333,Albertville,US,34.2676,-86.2089,62.76,52,0,4.63,clear sky
334,Okhotsk,RU,59.3833,143.3,34.68,64,74,4.36,broken clouds
335,Nepa Nagar,IN,21.4667,76.4,77.45,76,66,2.02,broken clouds
336,Laguna,US,38.421,-121.4238,70.77,79,0,2.57,clear sky
337,Barreirinha,BR,-2.7933,-57.07,100.71,32,94,1.99,overcast clouds
338,Uvat,RU,59.1433,68.8953,28.4,74,13,2.55,few clouds
339,Kununurra,AU,-15.7667,128.7333,73.38,83,75,2.57,broken clouds
340,Melioratorov,RU,57.2107,65.6077,35.98,60,0,2.0,clear sky
341,Dourbali,TD,11.8091,15.8632,96.08,34,45,2.39,scattered clouds
342,Dezful,IR,32.3811,48.4058,94.24,8,0,2.92,clear sky
343,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,87,75,9.77,drizzle
